3280	 420864	7 days ago	Attestation Violation	4,759,015	148,719
3281	 366016	7 days ago	Attestation Violation	4,758,974	148,717
3268	 298901	7 days ago	Attestation Violation	4,758,973	148,717
3308	 298901	7 days ago	Attestation Violation	4,758,973	148,717
3264	 43144	7 days ago	Attestation Violation	4,758,956	148,717
3267	 238068	7 days ago	Attestation Violation	4,758,923	148,716
3306	 59358	7 days ago	Attestation Violation	4,758,872	148,714
3282	 328326	7 days ago	Attestation Violation	4,758,798	148,712
3283	 32104	7 days ago	Attestation Violation	4,758,791	148,712
3265	 168754	7 days ago	Attestation Violation	4,758,786	148,712
3305	 185094	7 days ago	Attestation Violation	4,758,782	148,711
3203	 185094	7 days ago	Attestation Violation	4,758,782	148,711
3216	 9807	7 days ago	Attestation Violation	4,758,778	148,711
3204	 311394	7 days ago	Attestation Violation	4,758,777	148,711
3309	 157345	7 days ago	Attestation Violation	4,758,774	148,711
3215	 157345	7 days ago	Attestation Violation	4,758,774	148,711
3266	 276355	7 days ago	Attestation Violation	4,758,744	148,710
3284	 423647	7 days ago	Attestation Violation	4,758,729	148,710
3214	 426015	7 days ago	Attestation Violation	4,758,723	148,710
3307	 426015	7 days ago	Attestation Violation	4,758,723	148,710
28064	 354837	8 days ago	Attestation Violation	4,749,861	148,433
18194	 194161	8 days ago	Attestation Violation	4,747,566	148,361
28065	 33037	9 days ago	Attestation Violation	4,745,689	148,302
422397 (SECrypto)	 221629	12 days ago	Attestation Violation	4,719,340	147,479
404680	 418389	15 days ago	Attestation Violation	4,700,025	146,875
104106	 380245	18 days ago	Attestation Violation	4,680,960	146,280
45730	 141699	20 days ago	Attestation Violation	4,667,262	145,851
31987	 116570	23 days ago	Attestation Violation	4,640,867	145,027
70 (jeb)	 386249	25 days ago	Attestation Violation	4,625,722	144,553
246497	 247083	27 days ago	Attestation Violation	4,613,762	144,180
46320	 2300X	1 mo. ago	Attestation Violation	4,577,706	143,053
9362 (Chill IT Solutions)	 406385	1 mo. ago	Attestation Violation	4,552,795	142,274
19128	 266388	1 mo. ago	Attestation Violation	4,480,931	140,029
19133	 187360	1 mo. ago	Attestation Violation	4,480,485	140,015
32473	 162872	1 mo. ago	Attestation Violation	4,433,886	138,558
13209	 70929	2 mo. ago	Attestation Violation	4,289,503	134,046
406527	 178706	2 mo. ago	Attestation Violation	4,254,605	132,956
391311	 347354	3 mo. ago	Attestation Violation	4,112,690	128,521
16985	 301852	4 mo. ago	Attestation Violation	3,832,488	119,765
372932	 44733	4 mo. ago	Attestation Violation	3,780,081	118,127
368581	 217529	4 mo. ago	Attestation Violation	3,771,767	117,867
