,blockHash,blockNumber,timestamp,blockReward,blockMevReward,producerReward,feeRecipient,gasLimit,gasUsed,baseFee,txCount,internalTxCount,uncleCount,parentHash,uncleHash,difficulty,posConsensus,relay,consensusAlgorithm,tag,builderPubkey,producerFeeRecipient
59,0x77311e5aa4843d8a4bd33c5bd0da2f47bf3aa1a0646875d9894a262180f6eddc,16157931,1670719007,30086191694295097,29704389304617247,29704389304617247,0xf573d99385c05c23b24ed33de616ad16a43a0919,30000000,9253539,14075777057,158,75,0,0x573c805243be75bd4d3f3946c5b6c9b41f8f98fec4a1dcacf6b76d4e3fc2556b,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157931, 'proposerIndex': 429622, 'slot': 5324582, 'epoch': 166393, 'finalized': True}","{'tag': 'bloxroute-ethical-relay', 'builderPubkey': '0x95701d3f0c49d7501b7494a7a4a08ce66aa9cc1f139dbd3eec409b9893ea213e01681e6b76f031122c6663b7d72a331b', 'producerFeeRecipient': '0x388c818ca8b9251b393131c08a736a67ccb19297'}",pos,,,
60,0x573c805243be75bd4d3f3946c5b6c9b41f8f98fec4a1dcacf6b76d4e3fc2556b,16157930,1670718995,68617641157285359,70153365504109603,70153365504109603,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,30000000,26199537,12874231766,159,65,0,0x69c42d473dd4531ce9ce95e64726ecf5d847d1e9f1e876354fbb656cd10f9412,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157930, 'proposerIndex': 276431, 'slot': 5324581, 'epoch': 166393, 'finalized': True}","{'tag': 'bloxroute-max-profit-relay', 'builderPubkey': '0x96a59d355b1f65e270b29981dd113625732539e955a1beeecbc471dd0196c4804574ff871d47ed34ff6d921061e9fc27', 'producerFeeRecipient': '0x388c818ca8b9251b393131c08a736a67ccb19297'}",pos,,,
61,0x69c42d473dd4531ce9ce95e64726ecf5d847d1e9f1e876354fbb656cd10f9412,16157929,1670718983,31309453749041077,31551231458653577,31551231458653577,0x690b9a9e9aa1c9db991c7721a92d351db4fac990,30000000,13599445,13026265105,162,53,0,0x5c769d114c42a6e0400ae4ff021d516af221141b82feb4403c32c5e334cd2390,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157929, 'proposerIndex': 340667, 'slot': 5324580, 'epoch': 166393, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0xb194b2b8ec91a71c18f8483825234679299d146495a08db3bf3fb955e1d85a5fca77e88de93a74f4e32320fc922d3027', 'producerFeeRecipient': '0x388c818ca8b9251b393131c08a736a67ccb19297'}",pos,,,
62,0x5c769d114c42a6e0400ae4ff021d516af221141b82feb4403c32c5e334cd2390,16157928,1670718971,46838373001602553,46543600863369134,46543600863369134,0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5,30000000,12252770,13331470229,182,80,0,0xe811b50f73667a162f7af662d4e261164aa96745c636fd03fc36956163caef0c,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157928, 'proposerIndex': 389788, 'slot': 5324579, 'epoch': 166393, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0x81babeec8c9f2bb9c329fd8a3b176032fe0ab5f3b92a3f44d4575a231c7bd9c31d10b6328ef68ed1e8c02a3dbc8e80f9', 'producerFeeRecipient': '0x388c818ca8b9251b393131c08a736a67ccb19297'}",pos,,,
63,0xe811b50f73667a162f7af662d4e261164aa96745c636fd03fc36956163caef0c,16157927,1670718959,56930556649391999,56641599776585999,56641599776585999,0xdafea492d9c6733ae3d56b7ed1adb60692c98bc5,30000000,11264080,13759851086,138,75,0,0x61c14b2d1101d80a9afe4893eb5289b57eacc77f69d9b7b39630430e619850cf,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157927, 'proposerIndex': 214966, 'slot': 5324578, 'epoch': 166393, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0x81beef03aafd3dd33ffd7deb337407142c80fea2690e5b3190cfc01bde5753f28982a7857c96172a75a234cb7bcb994f', 'producerFeeRecipient': '0xe688b84b23f322a994a53dbf8e15fa82cdb71127'}",pos,,,
64,0x61c14b2d1101d80a9afe4893eb5289b57eacc77f69d9b7b39630430e619850cf,16157926,1670718947,38739348750419493,38948698686961993,38948698686961993,0x690b9a9e9aa1c9db991c7721a92d351db4fac990,30000000,11235764,14205456853,148,55,0,0x5ea838d3ea26392f52aac1ed7be255c7c0c2dea75248053ee16c4ff66f73b377,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157926, 'proposerIndex': 62542, 'slot': 5324577, 'epoch': 166393, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0xb194b2b8ec91a71c18f8483825234679299d146495a08db3bf3fb955e1d85a5fca77e88de93a74f4e32320fc922d3027', 'producerFeeRecipient': '0xe688b84b23f322a994a53dbf8e15fa82cdb71127'}",pos,,,
65,0x5ea838d3ea26392f52aac1ed7be255c7c0c2dea75248053ee16c4ff66f73b377,16157925,1670718935,37493537059137625,39967843605417962,39967843605417962,0x473780deaf4a2ac070bbba936b0cdefe7f267dfc,30000000,27535231,12861899508,106,52,0,0x76358bdbee319c81c79a88e8f47a0e98e46de09e472f5012c90605fb5680671b,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157925, 'proposerIndex': 234290, 'slot': 5324576, 'epoch': 166393, 'finalized': True}","{'tag': 'flashbots-relay', 'builderPubkey': '0xa1daf0ab37a9a204bc5925717f78a795fa2812f8fba8bda10b1b27c554bd7dedd46775106facd72be748eea336f514e9', 'producerFeeRecipient': '0x4675c7e5baafbffbca748158becba61ef3b0a263'}",pos,,,
66,0x76358bdbee319c81c79a88e8f47a0e98e46de09e472f5012c90605fb5680671b,16157924,1670718923,17619092933650357,18420090424690357,18420090424690357,0x199d5ed7f45f4ee35960cf22eade2076e95b253f,30000000,6359774,13859833632,77,23,0,0x731edc046fd2b1b2495b7f807a92f522f15a1cd4b29d3119dcbb3ebf2278f70b,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157924, 'proposerIndex': 116491, 'slot': 5324575, 'epoch': 166392, 'finalized': True}","{'tag': 'bloxroute-regulated-relay', 'builderPubkey': '0x80c7311597316f871363f8395b6a8d056071d90d8eb27defd14759e8522786061b13728623452740ba05055f5ba9d3d5', 'producerFeeRecipient': '0xe688b84b23f322a994a53dbf8e15fa82cdb71127'}",pos,,,
67,0x731edc046fd2b1b2495b7f807a92f522f15a1cd4b29d3119dcbb3ebf2278f70b,16157923,1670718911,19408877833327365,19408877833327365,19408877833327365,0x388c818ca8b9251b393131c08a736a67ccb19297,30000000,24001937,12892674905,112,58,0,0xe78006522c90762072756340daa7c89d8510073081f0da9c858ee70c1cd77711,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157923, 'proposerIndex': 237565, 'slot': 5324574, 'epoch': 166392, 'finalized': True}","{'tag': 'blocknative-relay', 'builderPubkey': '0x9000009807ed12c1f08bf4e81c6da3ba8e3fc3d953898ce0102433094e5f22f21102ec057841fcb81978ed1ea0fa8246', 'producerFeeRecipient': '0x388c818ca8b9251b393131c08a736a67ccb19297'}",pos,,,
68,0xe78006522c90762072756340daa7c89d8510073081f0da9c858ee70c1cd77711,16157922,1670718899,24194760881408151,24941844279703261,24941844279703261,0xf2f5c73fa04406b1995e397b55c24ab1f3ea726c,30000000,26849932,11733953633,143,78,0,0xcd37f9c86ca62249b3c646a1c99f7ea443eeac7540be78d8917f06823eaebec1,0x1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347,0,"{'executionBlockNumber': 16157922, 'proposerIndex': 363085, 'slot': 5324573, 'epoch': 166392, 'finalized': True}","{'tag': 'bloxroute-max-profit-relay', 'builderPubkey': '0x8b8edce58fafe098763e4fabdeb318d347f9238845f22c507e813186ea7d44adecd3028f9288048f9ad3bc7c7c735fba', 'producerFeeRecipient': '0x388c818ca8b9251b393131c08a736a67ccb19297'}",pos,,,
